dive,time_UTC,dateTime_UTC,latitude,longitude,label
151,739539.109560185,14-Oct-2024 02:37:46,41.9075666666667,-124.93965,start
151,739539.237546296,14-Oct-2024 05:42:04,41.8991833333333,-124.9184,stop
152,739539.241527778,14-Oct-2024 05:47:48,41.9,-124.9185,start
152,739539.373275463,14-Oct-2024 08:57:31,41.8833666666667,-124.901416666667,stop
153,739539.378564815,14-Oct-2024 09:05:08,41.8844333333333,-124.901533333333,start
153,739539.489247685,14-Oct-2024 11:44:31,41.8769833333333,-124.8828,stop
154,739539.494108796,14-Oct-2024 11:51:31,41.8779,-124.882683333333,start
154,739539.607581018,14-Oct-2024 14:34:55,41.8750166666667,-124.866283333333,stop
155,739539.612256944,14-Oct-2024 14:41:39,41.8756333333333,-124.866683333333,start
155,739539.72181713,14-Oct-2024 17:19:25,41.8730666666667,-124.855133333333,stop
156,739539.72712963,14-Oct-2024 17:27:04,41.8740666666667,-124.855533333333,start
156,739539.837037037,14-Oct-2024 20:05:20,41.8681833333333,-124.8376,stop
157,739539.840381944,14-Oct-2024 20:10:09,41.8690333333333,-124.837333333333,start
157,739539.950231481,14-Oct-2024 22:48:20,41.8587166666667,-124.8194,stop
158,739539.953761574,14-Oct-2024 22:53:25,41.8590333333333,-124.818866666667,start
158,739540.066053241,15-Oct-2024 01:35:07,41.8521333333333,-124.800366666667,stop
159,739540.069652778,15-Oct-2024 01:40:18,41.8522666666667,-124.800333333333,start
159,739540.179571759,15-Oct-2024 04:18:35,41.8504833333333,-124.785716666667,stop
160,739540.18318287,15-Oct-2024 04:23:47,41.8510333333333,-124.786683333333,start
160,739540.293356481,15-Oct-2024 07:02:26,41.84715,-124.77525,stop
161,739540.296840278,15-Oct-2024 07:07:27,41.8477833333333,-124.776216666667,start
161,739540.405844907,15-Oct-2024 09:44:25,41.84075,-124.758433333333,stop
162,739540.410787037,15-Oct-2024 09:51:32,41.8419333333333,-124.757733333333,start
162,739540.520636574,15-Oct-2024 12:29:43,41.8338,-124.736066666667,stop
163,739540.524247685,15-Oct-2024 12:34:55,41.8343833333333,-124.735383333333,start
163,739540.631956019,15-Oct-2024 15:10:01,41.8362166666667,-124.71485,stop
164,739540.635659722,15-Oct-2024 15:15:21,41.83745,-124.715533333333,start
164,739540.742372685,15-Oct-2024 17:49:01,41.8371,-124.70265,stop
165,739540.74599537,15-Oct-2024 17:54:14,41.8382,-124.703116666667,start
165,739540.853368056,15-Oct-2024 20:28:51,41.8314333333333,-124.696116666667,stop
166,739540.856574074,15-Oct-2024 20:33:28,41.83175,-124.696133333333,start
166,739540.963414352,15-Oct-2024 23:07:19,41.8204666666667,-124.682816666667,stop
167,739540.96693287,15-Oct-2024 23:12:23,41.8204833333333,-124.683333333333,start
167,739541.06150463,16-Oct-2024 01:28:34,41.8136,-124.66745,stop
168,739541.06775463,16-Oct-2024 01:37:34,41.8133666666667,-124.669333333333,start
168,739541.176064815,16-Oct-2024 04:13:32,41.8090333333333,-124.691783333333,stop
169,739541.179571759,16-Oct-2024 04:18:35,41.8093333333333,-124.6932,start
169,739541.28744213,16-Oct-2024 06:53:55,41.8031666666667,-124.70655,stop
170,739541.29087963,16-Oct-2024 06:58:52,41.80385,-124.707116666667,start
170,739541.399664352,16-Oct-2024 09:35:31,41.7909333333333,-124.7118,stop
171,739541.403020833,16-Oct-2024 09:40:21,41.7910666666667,-124.711433333333,start
171,739541.514907407,16-Oct-2024 12:21:28,41.7750166666667,-124.72535,stop
172,739541.518194444,16-Oct-2024 12:26:12,41.7750833333333,-124.7255,start
172,739541.62931713,16-Oct-2024 15:06:13,41.7639,-124.747233333333,stop
173,739541.635358796,16-Oct-2024 15:14:55,41.7637833333333,-124.74825,start
173,739541.748773148,16-Oct-2024 17:58:14,41.75955,-124.76865,stop
174,739541.75244213,16-Oct-2024 18:03:31,41.7597666666667,-124.769566666667,start
174,739541.883726852,16-Oct-2024 21:12:34,41.7427333333333,-124.765616666667,stop
175,739541.888831018,16-Oct-2024 21:19:55,41.74315,-124.764583333333,start
175,739542.016064815,17-Oct-2024 00:23:08,41.7186666666667,-124.777683333333,stop
176,739542.019895833,17-Oct-2024 00:28:39,41.7181,-124.777683333333,start
176,739542.148865741,17-Oct-2024 03:34:22,41.70165,-124.80235,stop
177,739542.155960648,17-Oct-2024 03:44:35,41.7020833333333,-124.803266666667,start
177,739542.289652778,17-Oct-2024 06:57:06,41.6940166666667,-124.82035,stop
178,739542.298634259,17-Oct-2024 07:10:02,41.6954833333333,-124.822783333333,start
178,739542.431354167,17-Oct-2024 10:21:09,41.67825,-124.830366666667,stop
179,739542.436655093,17-Oct-2024 10:28:47,41.6791833333333,-124.829616666667,start
179,739542.570775463,17-Oct-2024 13:41:55,41.6586333333333,-124.85095,stop
180,739542.574479167,17-Oct-2024 13:47:15,41.65925,-124.85125,start
180,739542.710081019,17-Oct-2024 17:02:31,41.64695,-124.867283333333,stop
181,739542.713622685,17-Oct-2024 17:07:37,41.6477333333333,-124.868383333333,start
181,739542.843819444,17-Oct-2024 20:15:06,41.6357666666667,-124.875216666667,stop
182,739542.850960648,17-Oct-2024 20:25:23,41.6360666666667,-124.8755,start
182,739542.982349537,17-Oct-2024 23:34:35,41.6088833333333,-124.88285,stop
183,739542.986261574,17-Oct-2024 23:40:13,41.6074666666667,-124.8831,start
183,739543.115972222,18-Oct-2024 02:47:00,41.5787,-124.88715,stop
184,739543.121354167,18-Oct-2024 02:54:45,41.57755,-124.888216666667,start
184,739543.249861111,18-Oct-2024 05:59:48,41.5682,-124.9171,stop
185,739543.255219907,18-Oct-2024 06:07:31,41.5686333333333,-124.918366666667,start
185,739543.354386574,18-Oct-2024 08:30:19,41.5629666666667,-124.927016666667,stop
186,739543.360335648,18-Oct-2024 08:38:53,41.5636833333333,-124.927466666667,start
186,739543.459733796,18-Oct-2024 11:02:01,41.5510166666667,-124.93595,stop
187,739543.464016204,18-Oct-2024 11:08:11,41.55065,-124.935116666667,start
187,739543.596006944,18-Oct-2024 14:18:15,41.5307,-124.956233333333,stop
188,739543.601261574,18-Oct-2024 14:25:49,41.5301833333333,-124.956283333333,start
188,739543.732164352,18-Oct-2024 17:34:19,41.5147166666667,-124.9811,stop
189,739543.736030093,18-Oct-2024 17:39:53,41.5148666666667,-124.98025,start
189,739543.866076389,18-Oct-2024 20:47:09,41.4963166666667,-124.9956,stop
190,739543.869837963,18-Oct-2024 20:52:34,41.49555,-124.994716666667,start
190,739544.038981481,19-Oct-2024 00:56:08,41.45035,-125.0181,stop
191,739544.043171296,19-Oct-2024 01:02:10,41.4493,-125.018233333333,start
191,739544.220856481,19-Oct-2024 05:18:02,41.4131,-125.053583333333,stop
192,739544.225208333,19-Oct-2024 05:24:18,41.4134333333333,-125.05255,start
192,739544.399456018,19-Oct-2024 09:35:13,41.3838666666667,-125.065716666667,stop
193,739544.404131944,19-Oct-2024 09:41:57,41.3840166666667,-125.065183333333,start
193,739544.578240741,19-Oct-2024 13:52:40,41.3425666666667,-125.0926,stop
194,739544.584166667,19-Oct-2024 14:01:12,41.3410333333333,-125.090866666667,start
194,739544.756747685,19-Oct-2024 18:09:43,41.3136333333333,-125.130983333333,stop
195,739544.761053241,19-Oct-2024 18:15:55,41.31305,-125.131033333333,start
195,739544.93587963,19-Oct-2024 22:27:40,41.2766666666667,-125.163216666667,stop
196,739544.941574074,19-Oct-2024 22:35:52,41.2762166666667,-125.16315,start
